CONSTRAINT_CATALOG,CONSTRAINT_SCHEMA,CONSTRAINT_NAME,TABLE_SCHEMA,TABLE_NAME,CONSTRAINT_TYPE
def,magento,PRIMARY,magento,admin_passwords,"PRIMARY KEY"
def,magento,ADMIN_PASSWORDS_USER_ID_ADMIN_USER_USER_ID,magento,admin_passwords,"FOREIGN KEY"
def,magento,PRIMARY,magento,admin_system_messages,"PRIMARY KEY"
def,magento,PRIMARY,magento,admin_user,"PRIMARY KEY"
def,magento,ADMIN_USER_USERNAME,magento,admin_user,UNIQUE
def,magento,PRIMARY,magento,admin_user_session,"PRIMARY KEY"
def,magento,ADMIN_USER_SESSION_USER_ID_ADMIN_USER_USER_ID,magento,admin_user_session,"FOREIGN KEY"
def,magento,PRIMARY,magento,adminnotification_inbox,"PRIMARY KEY"
def,magento,PRIMARY,magento,amazon_customer,"PRIMARY KEY"
def,magento,AMAZON_CUSTOMER_CUSTOMER_ID_AMAZON_ID,magento,amazon_customer,UNIQUE
def,magento,AMAZON_CUSTOMER_CUSTOMER_ID_CUSTOMER_ENTITY_ENTITY_ID,magento,amazon_customer,"FOREIGN KEY"
def,magento,PRIMARY,magento,amazon_pending_authorization,"FOREIGN KEY"
def,magento,UNQ_E6CCA08713FB32BB136A56837009C371,magento,amazon_pending_authorization,UNIQUE
def,magento,PRIMARY,magento,amazon_pending_capture,"PRIMARY KEY"
def,magento,AMAZON_PENDING_CAPTURE_ORDER_ID_PAYMENT_ID_CAPTURE_ID,magento,amazon_pending_capture,UNIQUE
def,magento,PRIMARY,magento,amazon_pending_refund,"PRIMARY KEY"
def,magento,AMAZON_PENDING_REFUND_ORDER_ID_PAYMENT_ID_REFUND_ID,magento,amazon_pending_refund,UNIQUE
def,magento,PRIMARY,magento,amazon_quote,"PRIMARY KEY"
def,magento,AMAZON_QUOTE_QUOTE_ID,magento,amazon_quote,UNIQUE
def,magento,AMAZON_QUOTE_QUOTE_ID_QUOTE_ENTITY_ID,magento,amazon_quote,"FOREIGN KEY"
def,magento,PRIMARY,magento,amazon_sales_order,"PRIMARY KEY"
def,magento,AMAZON_SALES_ORDER_ORDER_ID,magento,amazon_sales_order,UNIQUE
def,magento,AMAZON_SALES_ORDER_ORDER_ID_SALES_ORDER_ENTITY_ID,magento,amazon_sales_order,"FOREIGN KEY"
def,magento,PRIMARY,magento,authorization_role,"PRIMARY KEY"
def,magento,PRIMARY,magento,authorization_rule,"PRIMARY KEY"
def,magento,AUTHORIZATION_RULE_ROLE_ID_AUTHORIZATION_ROLE_ROLE_ID,magento,authorization_rule,"FOREIGN KEY"
def,magento,PRIMARY,magento,bold_asset,"PRIMARY KEY"
def,magento,BOLD_ASSET_CODE_ASSET_TYPE_ID_POSITION,magento,bold_asset,UNIQUE
